name,RA_ICRS,DE_ICRS,r50,r50_arcmin,rmax_arcmin,diamMAX_arcmin,N,pmRA,e_pmRA,pmDE,e_pmDE,Vr,e_Vr,Nvr,Plx,e_Plx,sigPM,flagdispPM,age,e_age,dist_iso,e_dist_iso,FeH,e_FeH,Av,e_Av,AG,e_AG,dist_PLX,e_dist_PLX,Diam_pc,DiamMax_pc,delta_dist,likelihood,BIC,prior_FEH,prior_AV,REF
Haffner_16,117.5864,-25.4646,0.031,1.862,8.888,17.775,106,-2.819,0.096,2.996,0.125,,,0,0.3,0.056,0.158,1,7.513,0.21,2862,186,-0.16,0.127,0.75,0.037,0.681,0.383,3412,187,4,18,-550,-530.584,1079.822,1,1,1
Haffner_17,117.8966,-31.8105,0.025,1.51,3.453,6.906,115,-1.181,0.142,1.878,0.122,41.865,0.519,4,0.243,0.061,0.188,1,8.114,0.526,2949,272,0.338,0.147,3.225,0.069,1.642,0.728,4054,237,4,9,-1105,-232.016,483.011,0,1,1
Haffner_19,118.1903,-26.2712,0.017,1.002,2.989,5.978,50,-2.483,0.128,2.485,0.124,,,0,0.159,0.068,0.179,1,7.938,0.51,3745,413,-0.21,0.159,1.221,0.131,1.431,0.46,5921,849,4,11,-2176,-644.199,1304.046,1,1,1
Haffner_20,119.0604,-30.3635,0.019,1.116,5.405,10.81,54,-2.315,0.118,3.427,0.111,,,0,0.17,0.051,0.162,1,7.941,0.616,3670,550,-0.103,0.145,2.231,0.118,1.958,0.501,5629,776,4,18,-1959,-416.352,848.659,1,1,1
Haffner_21,120.2903,-27.2185,0.027,1.622,5.613,11.225,65,-1.424,0.096,1.566,0.084,,,0,0.283,0.05,0.128,1,8.457,0.175,2736,71,-0.089,0.049,0.848,0.091,0.925,0.333,3496,230,4,12,-760,-495.249,1007.195,1,1,1
Haffner_22,123.1043,-27.9024,0.075,4.489,12.241,24.482,184,-1.635,0.088,2.875,0.075,33.086,0.602,17,0.331,0.032,0.115,1,9.387,0.029,2702,91,-0.347,0.101,0.7,0.128,0.715,0.408,3036,139,8,22,-334,-582.493,1185.847,1,1,1
Haffner_23,107.3845,-16.9042,0.127,7.645,24.508,49.016,77,-0.526,0.077,-0.075,0.083,,,0,0.449,0.036,0.113,1,8.408,0.272,1893,58,-0.091,0.049,1.025,0.096,0.834,0.271,2231,72,10,32,-338,-656.894,1331.162,1,1,1
Haffner_26,123.9074,-30.8492,0.066,3.962,10.489,20.978,68,-1.582,0.082,2.37,0.076,55.051,0.792,4,0.306,0.041,0.112,1,8.769,0.196,2519,135,-0.121,0.069,0.757,0.129,0.765,0.269,3296,136,8,21,-777,-572.755,1162.388,1,1,1
Haffner_3,106.0267,-6.1261,0.045,2.699,5.75,11.499,45,-1.168,0.133,-0.896,0.087,54.428,0.513,2,0.382,0.063,0.159,1,8.547,0.147,2329,81,-0.115,0.073,1.459,0.113,0.925,0.336,2635,137,5,9,-306,-539.951,1095.129,1,1,1
Haffner_4,106.5098,-15.0002,0.024,1.463,8.285,16.569,73,-0.402,0.132,0.931,0.145,,,0,0.239,0.069,0.196,1,8.625,0.61,4022,372,-0.126,0.016,1.6,0.138,1.018,0.5,4494,435,4,22,-471,-540.481,1098.124,1,1,1
