name,RA_ICRS,DE_ICRS,r50,r50_arcmin,rmax_arcmin,diamMAX_arcmin,N,pmRA,e_pmRA,pmDE,e_pmDE,Vr,e_Vr,Nvr,Plx,e_Plx,sigPM,flagdispPM,age,e_age,dist_iso,e_dist_iso,FeH,e_FeH,Av,e_Av,AG,e_AG,dist_PLX,e_dist_PLX,Diam_pc,DiamMax_pc,delta_dist,likelihood,BIC,prior_FEH,prior_AV,REF    
UBC603              ,   26.7801,   54.7542,   0.321,    19.235,      30.045,      60.091,     240,  -0.843,   0.227,  -1.235,   0.190, -43.987,   0.456,       2,   0.275,   0.076,   0.296,       1,   7.438,   0.284,    3062,     156,   0.164,   0.109,   0.527,   0.102,   0.634,   0.331,    3509,     314,      40,      62,    -447,    -222.761,     467.445,       1,       1,       1 
UBC606              ,   37.4633,   57.3713,   0.084,     5.012,       6.635,      13.271,      45,  -0.287,   0.153,  -1.154,   0.154,     nan,     nan,       0,   0.407,   0.063,   0.217,       1,   7.000,   0.236,    2463,      54,  -0.127,   0.133,   2.168,   0.036,   1.784,   0.346,    2504,     126,       8,      10,     -41,    -328.080,     671.387,       1,       1,       1 
UBC607              ,   47.7281,   50.2840,   0.087,     5.214,      11.945,      23.890,     138,  -1.140,   0.321,  -0.266,   0.210,     nan,     nan,       0,   0.176,   0.120,   0.384,       1,   9.288,   0.201,    4086,     145,  -0.164,   0.144,   2.037,   0.259,   1.327,   0.190,    5088,     752,      16,      36,   -1001,    -286.467,     592.643,       1,       1,       1 
UBC608              ,   61.3684,   55.9320,   0.209,    12.547,      20.310,      40.621,     313,  -0.133,   0.170,   0.054,   0.155,     nan,     nan,       0,   0.152,   0.093,   0.230,       1,   6.749,   0.113,    4523,     263,  -0.202,   0.106,   2.308,   0.014,   1.712,   0.523,    6795,    1755,      50,      81,   -2272,    -389.413,     801.811,       1,       1,       1 
UBC609              ,   65.2625,   53.2256,   0.444,    26.618,      46.573,      93.147,    1600,   0.471,   0.194,  -0.642,   0.204, -49.940,   0.853,      10,   0.192,   0.098,   0.281,       1,   6.738,   0.059,    3899,     255,  -0.248,   0.083,   2.585,   0.023,   1.976,   0.439,    5014,     883,      78,     136,   -1115,    -315.177,     659.864,       1,       1,       1 
UBC610              ,   91.4475,   55.7770,   0.284,    17.039,      26.343,      52.687,      67,   0.748,   0.250,  -1.945,   0.212,  -2.856,   0.457,       6,   0.272,   0.104,   0.328,       1,   8.890,   0.893,    3838,     469,  -0.090,   0.223,   1.096,   0.639,   0.648,   0.412,    3399,     286,      34,      53,     438,    -265.738,     548.294,       1,       1,       1 
UBC612              ,   79.8391,   40.1337,   0.153,     9.178,      13.345,      26.690,     190,   0.391,   0.279,  -0.669,   0.200,     nan,     nan,       0,   0.132,   0.157,   0.343,       1,   7.067,   0.576,    5625,    1593,  -0.282,   0.229,   1.973,   0.125,   1.639,   0.107,    6315,    2236,      34,      50,    -690,    -220.205,     461.398,       1,       1,       1 
UBC613              ,   79.9719,   38.9822,   0.059,     3.555,       6.485,      12.969,      88,   0.285,   0.235,  -0.690,   0.190,     nan,     nan,       0,   0.169,   0.137,   0.302,       1,   6.943,   0.081,    4866,     455,  -0.305,   0.211,   2.337,   0.036,   1.725,   0.267,    5657,     945,      12,      22,    -791,    -206.848,     431.605,       1,       1,       1 
UBC614              ,   80.0784,   30.2679,   0.152,     9.101,      20.103,      40.206,      53,   0.874,   0.145,  -0.750,   0.113,  -0.906,   0.968,       4,   0.505,   0.096,   0.184,       1,   9.160,   0.207,    1849,     117,  -0.048,   0.227,   1.384,   0.404,   0.896,   0.319,    1914,      77,      11,      23,     -65,    -403.933,     823.747,       1,       1,       1 
UBC615              ,  104.8735,   33.1078,   0.255,    15.278,      22.089,      44.179,      85,  -0.254,   0.264,  -2.421,   0.367,     nan,     nan,       0,   0.329,   0.106,   0.452,       1,   9.108,   0.800,    2991,     395,  -0.197,   0.093,   0.952,   0.593,   0.731,   0.482,    2935,     236,      27,      38,      55,    -203.335,     424.440,       1,       1,       1 
UBC616              ,  106.9835,   19.9243,   0.135,     8.088,      19.293,      38.586,      69,  -1.227,   0.213,  -0.784,   0.184,     nan,     nan,       0,   0.287,   0.108,   0.281,       1,   9.022,   0.071,    2658,      73,  -0.282,   0.098,   0.442,   0.169,   0.581,   0.415,    3191,     207,      16,      36,    -533,    -171.710,     360.356,       1,       1,       1 
UBC617              ,   94.7479,   10.1271,   0.078,     4.695,       9.521,      19.043,      34,  -1.390,   0.124,  -0.172,   0.171,  61.138,   0.751,       3,   0.413,   0.068,   0.211,       1,   9.019,   0.711,    2261,      90,  -0.108,   0.147,   1.743,   0.345,   1.285,   0.504,    2359,     119,       7,      14,     -98,    -458.116,     930.337,       1,       1,       1 
