RA_ICRS,DE_ICRS,dist_PLX,Diam_pc
255.5249,-39.7137,1577,4
256.1804,-37.9511,533,5
259.0428,-39.4258,2438,4
259.6296,-42.9378,1374,3
25.7706,64.0371,2961,3
263.6619,-32.5707,1145,4
264.4011,-35.0136,2835,3
265.0614,-36.953,1254,4
265.0876,-32.244,460,5
266.0315,-32.3594,1084,9
266.7268,-31.5107,1013,4
267.395,-34.8221,1925,4
268.2751,-22.2903,1703,4
268.4064,-34.874,279,8
269.2415,-18.9672,738,8
270.8558,-27.8835,1797,2
271.1088,-24.3572,1313,5
271.0329,-22.5163,1252,6
272.6725,-16.7529,1526,5
273.1977,-21.6118,1068,6
273.9607,-22.1443,2420,4
26.1029,60.6768,3490,7
274.6176,-18.408,3084,5
274.5127,-12.2449,2131,4
274.6976,-13.8017,1766,4
274.9993,-17.0921,1561,4
26.5705,61.2152,3124,14
276.7924,-12.0203,3038,6
276.8648,6.6128,396,6
278.1652,-16.9096,1842,8
278.359,-10.398,2142,5
279.1246,-8.1864,2136,8
281.3155,-9.384,1909,4
282.6847,-5.2013,2301,3
282.7644,-6.2714,2343,7
282.8376,10.3452,1098,6
283.5994,-19.8979,711,3
284.7174,-8.9453,1866,9
285.1562,-0.5123,2404,10
286.9374,4.2147,2662,9
287.1828,4.7075,3553,4
290.2241,37.7763,5217,12
290.8013,22.1708,599,5
291.6769,25.0342,1049,8
292.6548,20.2604,3234,6
294.3507,46.3753,1149,8
295.329,40.1898,2811,9
295.7959,23.3312,2239,6
297.2209,21.2118,9736,8
297.7235,23.1012,2358,6
298.0534,29.4,3680,7
300.9826,44.1596,1457,5
301.5836,35.7723,1945,24
302.9831,26.4935,1757,9
305.7883,40.7652,1833,6
305.9118,38.4839,1808,7
307.9272,60.6538,1975,7
308.6143,28.2726,1055,9
313.6858,47.3994,566,10
314.1407,44.6329,887,3
316.5276,41.514,1224,3
317.661,45.6022,773,4
318.2885,42.4973,3666,6
320.432,50.8226,366,2
320.8567,46.3747,2513,5
321.1037,36.4982,677,3
321.075,48.011,6540,7
322.1804,47.0986,1371,9
322.6233,51.5881,1696,7
